nvidia_code,nvidia_version,nvidia_display_name,nvidia_description,nvidia_capability,nvidia_compatibility,nvidia_tags,proposed_capability_id,pixar_overlap_type,pixar_validator,pixar_overlap_notes
AA.001,1.0.0,anchored-asset-paths,Asset references should use anchored paths,atomic_asset,core-usd,essential,com.nvidia.simready.asset.anchored-asset-paths,none,,
AA.002,1.0.0,supported-file-types,Asset must use only supported file types,atomic_asset,open-usd,essential,com.nvidia.simready.asset.supported-file-types,overlap,usdUtilsValidators:FileExtensionValidator,supported file types
AA.003,1.0.0,portable-asset-paths,Asset paths should use forward slashes for cross-platform portability,atomic_asset,core-usd,essential,com.nvidia.simready.asset.portable-asset-paths,none,,
AA.OV.001,1.0.0,ov-usdz-udim-limitation,Texture UDIMs are not supported in USDZ files in NVIDIA Omniverse,atomic_asset,kit,limitation,com.nvidia.simready.asset.ov-usdz-udim-limitation,none,,
DC.001,1.0.0,dense-caption-capability,The Root Prim must inlcude documentation metadata that describes the 3D Asset.,dense_captions,core-usd,essential,com.nvidia.simready.captions.dense-caption-capability,none,,
DC.002,1.0.0,additional-dense-captions,Prims representing sub-objects or parts within the asset should be documented with additional dense captions.,dense_captions,core-usd,high-quality,com.nvidia.simready.captions.additional-dense-captions,none,,
VG.002,1.0.0,usdgeom-extent,Boundable geometry primitives should have valid extent values.,geometry,open-usd,performance,com.nvidia.simready.geom.usdgeom-extent,partial,usdGeomValidators:StageMetadataChecker,extents; no dedicated Pixar extent validator
VG.003,1.0.0,usdgeom-mesh-internal-geometry,Only include geometry that contributes to visualization or simulation,geometry,open-usd,performance,com.nvidia.simready.geom.usdgeom-mesh-internal-geometry,none,,
VG.004,1.0.0,usdgeom-mesh-empty-spaces,Use efficient mesh boundaries for performance,geometry,rtx,performance,com.nvidia.simready.geom.usdgeom-mesh-empty-spaces,none,,
VG.005,1.0.0,usdgeom-boundable-size,Meshes should maintain appropriate scale and boundary volumes,geometry,rtx,performance,com.nvidia.simready.geom.usdgeom-boundable-size,none,,
VG.006,1.0.0,usdgeom-mesh-overlap,Meshes should not overlap unnecessarily,geometry,core-usd,performance,com.nvidia.simready.geom.usdgeom-mesh-overlap,none,,
VG.007,1.0.0,usdgeom-mesh-manifold,Mesh geometry must be manifold,geometry,core-usd,correctness,com.nvidia.simready.geom.usdgeom-mesh-manifold,none,,
VG.008,1.0.0,usdgeom-mesh-coincident,Meshes should not share the exact same space,geometry,core-usd,performance,com.nvidia.simready.geom.usdgeom-mesh-coincident,none,,
VG.009,1.0.0,usdgeom-mesh-primvar-indexing,Use indexed primvars when values are repeated,geometry,core-usd,performance,com.nvidia.simready.geom.usdgeom-mesh-primvar-indexing,none,,
VG.010,1.0.0,usdgeom-mesh-subdivision,Do not subdivide meshes with Normals.,geometry,core-usd,performance,com.nvidia.simready.geom.usdgeom-mesh-subdivision,none,,
VG.011,1.0.0,usdgeom-mesh-primvar-usage,Only include primvars that are actively used,geometry,core-usd,performance,com.nvidia.simready.geom.usdgeom-mesh-primvar-usage,none,,
VG.012,1.0.0,usdgeom-mesh-small,Remove meshes from the scene that are below the extent size threshold.,geometry,core-usd,performance,com.nvidia.simready.geom.usdgeom-mesh-small,none,,
VG.013,1.0.0,usdgeom-mesh-tessellation-density,Use appropriate tessellation density for geometry,geometry,core-usd,performance,com.nvidia.simready.geom.usdgeom-mesh-tessellation-density,none,,
VG.014,1.0.0,usdgeom-mesh-topology,Mesh topology must be valid,geometry,core-usd,correctness,com.nvidia.simready.geom.usdgeom-mesh-topology,partial,usdGeomValidators:EncapsulationChecker,different scope: Pixar=nesting NVIDIA=topology validity
VG.015,1.0.0,usdgeom-mesh-identical-timesamples,Use time samples only when attribute values change,geometry,core-usd,performance,com.nvidia.simready.geom.usdgeom-mesh-identical-timesamples,none,,
VG.016,1.0.0,usdgeom-mesh-colocated-points,Each vertex position should be unique,geometry,core-usd,performance,com.nvidia.simready.geom.usdgeom-mesh-colocated-points,none,,
VG.017,1.0.0,usdgeom-mesh-primitive-tessellation,Avoid tessellating primitive shapes,geometry,core-usd,performance,com.nvidia.simready.geom.usdgeom-mesh-primitive-tessellation,none,,
VG.018,1.0.0,usdgeom-mesh-unused-topology,"Mesh topology should be without unused vertices, edges, or faces.",geometry,core-usd,performance,com.nvidia.simready.geom.usdgeom-mesh-unused-topology,none,,
VG.019,1.0.0,usdgeom-mesh-zero-area-faces,Faces should have non-zero area.,geometry,core-usd,performance,com.nvidia.simready.geom.usdgeom-mesh-zero-area-faces,none,,
VG.020,1.0.0,usdgeom-pointbased-points-precision,The values of the points attribute  must not exceed the limit at which a given precision can be represented using 32-bit floats.,geometry,core-usd,performance,com.nvidia.simready.geom.usdgeom-pointbased-points-precision,none,,
VG.021,1.0.0,usdgeom-mesh-vertex-count,Use appropriate vertex count for geometry,geometry,core-usd,performance,com.nvidia.simready.geom.usdgeom-mesh-vertex-count,none,,
VG.022,1.0.0,usdgeom-mesh-duplicate,Meshes should use instancing if they are identical apart from their world space location,geometry,core-usd,performance,com.nvidia.simready.geom.usdgeom-mesh-duplicate,none,,
VG.023,1.0.0,mesh-xform-positioning,"Meshes should be positioned using xform ops, not by embedding positions into point positions.",geometry,core-usd,correctness,com.nvidia.simready.geom.mesh-xform-positioning,none,,
VG.024,1.0.0,identical-mesh-consistency,Repeated occurrences of identically shaped objects should have identical mesh connectivity,geometry,core-usd,performance,com.nvidia.simready.geom.identical-mesh-consistency,none,,
VG.025,1.0.0,asset-at-origin,"Geometry shall be defined as such that the asset is correctly positioned and oriented at the origin (0,0,0).",geometry,core-usd,essential,com.nvidia.simready.geom.asset-at-origin,none,,
VG.027,1.0.0,usdgeom-mesh-normals-exist,All non-subdivided meshes must have normals.,geometry,core-usd,correctness,com.nvidia.simready.geom.usdgeom-mesh-normals-exist,none,,
VG.028,1.0.0,usdgeom-mesh-normals-must-be-valid,Mesh normals values must be valid to produce correct shading.,geometry,core-usd,correctness,com.nvidia.simready.geom.usdgeom-mesh-normals-must-be-valid,none,,
VG.029,1.0.0,usdgeom-mesh-winding-order,The winding order of faces in a mesh must correctly represent the orientation (front/back) of the face.,geometry,core-usd,correctness,com.nvidia.simready.geom.usdgeom-mesh-winding-order,none,,
VG.030,1.0.0,usdgeom-zero-extent,Boundable geometry should have non-zero extents in at least one dimension.,geometry,core-usd,performance,com.nvidia.simready.geom.usdgeom-zero-extent,none,,
VG.031,1.0.0,usdgeom-mesh-non-opaque-must-have-thickness,Meshes made from non opaque materials shall have thickness,geometry,core-usd,correctness,com.nvidia.simready.geom.usdgeom-mesh-non-opaque-must-have-thickness,none,,
VG.032,1.0.0,usdgeom-mesh-lamina-faces,Faces should not be lamina.,geometry,core-usd,performance,com.nvidia.simready.geom.usdgeom-mesh-lamina-faces,none,,
VG.033,1.0.0,usdgeom-unused-uvs,Do not author unused texture coordinates.,geometry,core-usd,performance,com.nvidia.simready.geom.usdgeom-unused-uvs,none,,
VG.034,1.0.0,usdgeom-invisible-prims,Avoid invisible prims when deactivation is more appropriate.,geometry,core-usd,performance,com.nvidia.simready.geom.usdgeom-invisible-prims,none,,
VG.MESH.001,1.0.0,geom-shall-be-mesh,All geometry shall be represented as non-subdivided mesh primitives using the UsdGeomMesh schema.,geometry,core-usd,essential,com.nvidia.simready.geom.geom-shall-be-mesh,none,,
VG.RTX.001,1.0.0,usdgeom-boundable-size-rtx-limit,World space bounds must not exceed RTX limit.,geometry,rtx,limitation,com.nvidia.simready.geom.usdgeom-boundable-size-rtx-limit,none,,
VG.RTX.002,1.0.0,usdgeom-mesh-count,Use appropriate mesh count for scene,geometry,rtx,performance,com.nvidia.simready.geom.usdgeom-mesh-count,none,,
HI.001,1.0.0,hierarchy-has-root,Prim hierarchy must have a single root prim.,hierarchy,open-usd,essential,com.nvidia.simready.hierarchy.hierarchy-has-root,none,,
HI.003,1.0.0,root-is-xformable,The root prim of the asset hierarchy must be transformable,hierarchy,other,essential,com.nvidia.simready.hierarchy.root-is-xformable,none,,
HI.004,1.0.0,stage-has-default-prim,Stage must specify a default prim to define the root entry point.,hierarchy,open-usd,essential,com.nvidia.simready.hierarchy.stage-has-default-prim,partial,usdUtilsValidators:MissingReferenceValidator,defaultPrim; no dedicated Pixar validator for this
HI.005,1.0.0,xform-common-api-usage,Transformations on prims representing objects or groups that require placement should conform to the UsdGeomXformCommonAPI.,hierarchy,open-usd,correctness,com.nvidia.simready.hierarchy.xform-common-api-usage,none,,
HI.006,1.0.0,placeable-posable-are-xformable,Prims representing objects or groups that require placement (including the asset root) shall be xformable.,hierarchy,open-usd,essential,com.nvidia.simready.hierarchy.placeable-posable-are-xformable,none,,
HI.008,1.0.0,logical-geometry-grouping,Geometry should be grouped in a way that is logical for the object\u0027s structure.,hierarchy,open-usd,correctness,com.nvidia.simready.hierarchy.logical-geometry-grouping,none,,
HI.009,1.0.0,kinematic-chain-hierarchy,"For articulated assets without joint definitions, the prim hierarchy should reflect the kinematic chain.",hierarchy,open-usd,correctness,com.nvidia.simready.hierarchy.kinematic-chain-hierarchy,none,,
HI.010,1.0.0,intentional-origin-positioning,Origins of prims representing objects or groups that require placement should be positioned intentionally,hierarchy,core-usd,essential,com.nvidia.simready.hierarchy.intentional-origin-positioning,none,,
HI.011,1.0.0,many-children,Avoid large numbers of child prims under a parent xform,hierarchy,open-usd,performance,com.nvidia.simready.hierarchy.many-children,none,,
HI.012,1.0.0,empty-leaves,Avoid empty leaf nodes in scene hierarchy,hierarchy,open-usd,performance,com.nvidia.simready.hierarchy.empty-leaves,none,,
VM.BIND.001,1.0.0,material-bind-scope,Material bindings must use appropriate scope to ensure proper material assignment and inheritance.,materials,open-usd,correctness,com.nvidia.simready.materials.visual.material-bind-scope,overlap,usdShadeValidators:MaterialBindingApiAppliedValidator,material binding API applied
VM.D.001,1.0.0,material-duplicates,Using fewer materials can result in better performance.,materials,open-usd,performance,com.nvidia.simready.materials.visual.material-duplicates,none,,
VM.MDL.001,1.0.0,material-mdl-source-asset,MDL material source assets must be properly referenced and accessible to ensure material loading and rendering.,materials,open-usd,correctness,com.nvidia.simready.materials.visual.material-mdl-source-asset,none,,
VM.MDL.002,1.0.0,material-mdl-schema,MDL Shaders must standard OpenUSD shader source attributes to ensure compatibility.,materials,kit-107+,correctness,com.nvidia.simready.materials.visual.material-mdl-schema,none,,
VM.PS.001,1.0.0,material-preview-surface,Material attributes must comply with the UsdPreviewSurface specification to ensure consistent rendering and viewer compatibility.,materials,open-usd,correctness,com.nvidia.simready.materials.visual.material-preview-surface,overlap,usdShadeValidators:ShaderSdrCompliance,UsdPreviewSurface; Pixar checks SDR conformance broadly
NVM.001,1.0.0,material-attributes,"Materials must specify additional ""non-visual"" material attributes",nonvisual_materials,rtx,essential,com.nvidia.simready.materials.nonvisual.material-attributes,none,,
NVM.002,1.0.0,material-base,Materials must specify a base material type,nonvisual_materials,rtx,correctness,com.nvidia.simready.materials.nonvisual.material-base,none,,
NVM.003,1.0.0,material-coating,Materials must specify surface coating,nonvisual_materials,rtx,correctness,com.nvidia.simready.materials.nonvisual.material-coating,none,,
NVM.004,1.0.0,material-binding,Attributes must be on bound materials,nonvisual_materials,rtx,correctness,com.nvidia.simready.materials.nonvisual.material-binding,none,,
NVM.005,1.0.0,material-consistency,Properties must be consistent with visual materials,nonvisual_materials,rtx,correctness,com.nvidia.simready.materials.nonvisual.material-consistency,none,,
NVM.006,1.0.0,material-time,Properties must not be time-varying,nonvisual_materials,rtx,correctness,com.nvidia.simready.materials.nonvisual.material-time,none,,
JT.001,1.0.0,joint-capability,Rigid bodies which are not free floating should be connected using joints.,physics_joints,open-usd,essential,com.nvidia.simready.physics.joints.joint-capability,none,,
JT.002,1.0.0,joint-body-target-exists,Targets set to Body0 and Body1 relationships must exist.,physics_joints,open-usd,correctness,com.nvidia.simready.physics.joints.joint-body-target-exists,overlap,usdPhysicsValidators:PhysicsJointChecker,joint body target exists
JT.003,1.0.0,joint-no-multiple-body-targets,Body0 and Body1 relationships must not have more than one target.,physics_joints,open-usd,correctness,com.nvidia.simready.physics.joints.joint-no-multiple-body-targets,overlap,usdPhysicsValidators:PhysicsJointChecker,joint no multiple targets
JT.ART.001,1.0.0,articulation,"For stable and fast simulations of kinematic chains, an asset should define an articulation.",physics_joints,open-usd,high-quality,com.nvidia.simready.physics.joints.articulation,none,,
JT.ART.002,1.0.0,articulation-no-nesting,Articulation roots cannot be nested.,physics_joints,open-usd,correctness,com.nvidia.simready.physics.joints.articulation-no-nesting,overlap,usdPhysicsValidators:ArticulationChecker,articulation no nesting
JT.ART.003,1.0.0,articulation-not-on-kinematic-body,"In PhysX based simulators, like Omniverse Isaac Sim, Articulations are not allowed on kinematic bodies.",physics_joints,physx,limitation,com.nvidia.simready.physics.joints.articulation-not-on-kinematic-body,none,,
JT.ART.004,1.0.0,articulation-not-on-static-body,Articulations are not allowed on static bodies.,physics_joints,open-usd,correctness,com.nvidia.simready.physics.joints.articulation-not-on-static-body,overlap,usdPhysicsValidators:ArticulationChecker,articulation not on static body
RB.001,1.0.0,rigid-body-capability,Assets must contain at least one rigid body,physics_rigid_bodies,open-usd,essential,com.nvidia.simready.physics.rigidBodies.rigid-body-capability,none,,
RB.003,1.0.0,rigid-body-schema-application,Rigid bodies have to be UsdGeomXformable prims.,physics_rigid_bodies,open-usd,correctness,com.nvidia.simready.physics.rigidBodies.rigid-body-schema-application,overlap,usdPhysicsValidators:RigidBodyChecker,rigid body must be Xformable
RB.005,1.0.0,rigid-body-no-instancing,Rigid bodies cannot be part of a scene graph instance.,physics_rigid_bodies,open-usd,correctness,com.nvidia.simready.physics.rigidBodies.rigid-body-no-instancing,overlap,usdPhysicsValidators:RigidBodyChecker,rigid body no instancing
RB.006,1.0.0,rigid-body-no-nesting,"In PhysX based simulators, like Omniverse Isaac Sim, Rigid bodies can not be nested unless xformOp reset xform stack is used.",physics_rigid_bodies,physx,limitation,com.nvidia.simready.physics.rigidBodies.rigid-body-no-nesting,none,,
RB.007,1.0.0,rigid-body-mass,Rigid bodies _or_ their descendent collision shapes should have a mass \u0026 their other inertial properties explicitly specified.,physics_rigid_bodies,open-usd,high-quality,com.nvidia.simready.physics.rigidBodies.rigid-body-mass,none,,
RB.009,1.0.0,rigid-body-schema-no-skew-matrix,Rigid bodies have to be UsdGeomXformable prims without skew matrix.,physics_rigid_bodies,open-usd,correctness,com.nvidia.simready.physics.rigidBodies.rigid-body-schema-no-skew-matrix,overlap,usdPhysicsValidators:RigidBodyChecker,rigid body no skew matrix
RB.COL.001,1.0.0,collider-capability,Colliding Gprims must apply the Collision API.,physics_rigid_bodies,open-usd,essential,com.nvidia.simready.physics.rigidBodies.collider-capability,none,,
RB.COL.002,1.0.0,static-collider,"If an asset is expected to be static (no movement happens), it can not contain a rigid body, only a Collider body.",physics_rigid_bodies,open-usd,correctness,com.nvidia.simready.physics.rigidBodies.static-collider,none,,
RB.COL.003,1.0.0,collider-mesh,The Mesh Collision API can only be assigned to Mesh Prims.,physics_rigid_bodies,open-usd,correctness,com.nvidia.simready.physics.rigidBodies.collider-mesh,none,,
RB.COL.004,1.0.0,collider-non-uniform-scale,"The collision shape scale must be uniform for the following geometries: Sphere, Capsule, Cylinder, Cone \u0026 Points.",physics_rigid_bodies,open-usd,correctness,com.nvidia.simready.physics.rigidBodies.collider-non-uniform-scale,overlap,usdPhysicsValidators:ColliderChecker,collider uniform scale
SL.001,1.0.0,semantic-label-capability,All geometry prims must be semantically labeled.,semantic_labels,core-usd,essential,com.nvidia.simready.semantics.semantic-label-capability,none,,
SL.003,1.0.0,semantic-label-schema,Semantic labels must use the SemanticsLabelsAPI schema,semantic_labels,open-usd,correctness,com.nvidia.simready.semantics.semantic-label-schema,none,,
SL.NV.002,1.0.0,semantic-label-time,Semantic label attributes must not contain time samples,semantic_labels,rtx,limitation,com.nvidia.simready.semantics.semantic-label-time,none,,
SL.QCODE.001,1.0.0,semantic-label-qcode-valid,"If the Wikidata ontology is used, Q-Codes must be valid, properly formatted, and retrievable from wikidata.org.",semantic_labels,omniverse,correctness,com.nvidia.simready.semantics.semantic-label-qcode-valid,none,,
UN.001,1.0.0,upaxis,Stage must specify upAxis to define the orientation of the stage,units,core-usd,essential,com.nvidia.simready.units.upaxis,delegate,usdGeomValidators:StageMetadataChecker,upAxis check
UN.002,1.0.0,meters-per-unit,Stage must specify metersPerUnit to define the linear unit scale,units,core-usd,essential,com.nvidia.simready.units.meters-per-unit,delegate,usdGeomValidators:StageMetadataChecker,metersPerUnit check
UN.003,1.0.0,kilograms-per-unit,"Stage must specify kilogramsPerUnit to define the mass unit scale, if physics objects are present in the stage.",units,core-usd,correctness,com.nvidia.simready.units.kilograms-per-unit,none,,
UN.004,1.0.0,corrective-transforms,Must apply corrective transforms for different units,units,core-usd,correctness,com.nvidia.simready.units.corrective-transforms,none,,
UN.005,1.0.0,timecodes-per-second,"Stage must specify timeCodesPerSecond, if timesamples are present in the stage.",units,core-usd,correctness,com.nvidia.simready.units.timecodes-per-second,none,,
UN.006,1.0.0,upaxis-z,"Stage must specify upAxis = ""Z"" to define the orientation of the stage",units,core-usd,essential,com.nvidia.simready.units.upaxis-z,delegate,usdGeomValidators:StageMetadataChecker,upAxis=Z; SimReady stricter (requires Z)
UN.007,1.0.0,meters-per-unit-1,Stage must specify metersPerUnit = 1.0 to define the linear unit scale,units,core-usd,essential,com.nvidia.simready.units.meters-per-unit-1,delegate,usdGeomValidators:StageMetadataChecker,metersPerUnit=1.0; SimReady stricter (requires 1.0)
